#data;
#param ND:=15;
#param NDO:=4;
#param NDR:=11;
#param NR:=90;
#param NT:=15;

#param Number_Duplex:=15;#Number of Duplex machines
#param Number_Cables_Duplex:=4;
#param Number_Cables_Duplex_Regular:=11;
#param Number_Regular:=90;
#param Type_Cable:=15;

#set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;
#set ID := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;
#set IDO := 1 2 3 4;
#set IR := 5 6 7 8 9 10 11 12 13 14 15;

#Demand in yards
param: Qi:=
		1	16500
		2	52000
		3	45000
		4	22000
		5	76500
		6	110000
		7	122000
		8	62000
		9	7500
		10	69000
		11	70000
		12	82000
		13	10000
		14	3800000
		15	62000;

#Selling Price ($/yard)
param: Zi:=
		1	0.987
		2	0.831
		3	0.831
		4	0.855
		5	1.0375
		6	0.84
		7	0.88
		8	1.102
		9	1.243
		10	0.95
		11	1.4
		12	0.97
		13	0.85
		14	0.625
		15	0.698;

#DuplexRate (yard/hour)
param: di:=
		1	4.653
		2	4.653
		3	4.653
		4	4.653
		5	5.194
		6	3.809
		7	4.185
		8	5.232
		9	5.232
		10	5.232
		11	3.733
		12	4.185
		13	4.439
		14	5.232
		15	4.185;

#Regular Rate (yard/hour)
param: ri:=
		1	0
		2	0
		3	0
		4	0
		5	5.194
		6	3.809
		7	4.185
		8	5.232
		9	5.232
		10	5.232
		11	3.733
		12	4.185
		13	4.439
		14	5.232
		15	4.185;

#PlantCost ($/yard)
param: Ci:=
		1	0.6573
		2	0.555
		3	0.655
		4	0.5542
		5	0.6097
		6	0.6153
		7	0.6477
		8	0.488
		9	0.5029
		10	0.4351
		11	0.6417
		12	0.5675
		13	0.4952
		14	0.3128
		15	0.5029;

#OutsideCost ($/yard)
param: Oi:=
		1	0.8
		2	0.7
		3	0.85
		4	0.7
		5	0.75
		6	0.75
		7	0.8
		8	0.6
		9	0.7
		10	0.6
		11	0.8
		12	0.75
		13	0.65
		14	0.45
		15	0.7;
